Transparent|透明
Meadow B|草地B
Bone A|骨A
Entrance|入口
Bush A|茂みA
Bush A|茂みA
Bush B|茂みB
Bush B|茂みB
Meadow B|草地B
Meadow B|草地B
Bone B|骨B
Entrance|入口
Bush A|茂みA
Bush A|茂みA
Bush B|茂みB
Bush B|茂みB
Meadow B|草地B
Meadow B|草地B
Dead Tree A|枯れ木A
Palm Tree A|ヤシの木A
Palm Tree A|ヤシの木A
Palm Tree A|ヤシの木A
Weed A|草A
Shadow|影
Curb A (Flower Bed)|縁石A（花壇）
Dead Tree B|枯れ木B
Dead Tree C|枯れ木C
Palm Tree A|ヤシの木A
Palm Tree A|ヤシの木A
Palm Tree A|ヤシの木A
Weed B|草B
Curb B (Flower Bed)|縁石B（花壇）
Weed C|草C
Weed D|草D
Weed E|草E
Palm Tree A|ヤシの木A
Palm Tree A|ヤシの木A
Palm Tree A|ヤシの木A
Cactus A|サボテンA
Cactus B|サボテンB
Cactus C|サボテンC
Tree A|木A
Tree A|木A
Palm Tree A|ヤシの木A
Palm Tree A|ヤシの木A
Palm Tree A|ヤシの木A
Dead Tree D|枯れ木D
Dead Tree D|枯れ木D
Dead Tree D|枯れ木D
Tree A|木A
Tree A|木A
Cactus D|サボテンD
Palm Tree B|ヤシの木B
Flower A|花A
Dead Tree D|枯れ木D
Dead Tree D|枯れ木D
Dead Tree D|枯れ木D
Dead Tree E|枯れ木E
Dead Tree E|枯れ木E
Cactus D|サボテンD
Palm Tree B|ヤシの木B
Cactus E|サボテンE
Dead Tree D|枯れ木D
Dead Tree D|枯れ木D
Dead Tree D|枯れ木D
Dead Tree E|枯れ木E
Dead Tree E|枯れ木E
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Flower B|花B
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Iron Fence (Back)|鉄柵（奥）
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost D|柵D
Fencepost E|柵E
Fencepost F|柵F
Iron Fence (Back)|鉄柵（奥）
Iron Fence (Back)|鉄柵（奥）
Iron Fence (Back)|鉄柵（奥）
Iron Fence (Back)|鉄柵（奥）
Iron Fence|鉄柵
Iron Fence|鉄柵
Fencepost E|柵E
Iron Fence (Back)|鉄柵（奥）
Iron Fence (Front)|鉄柵（手前）
Iron Fence (Back)|鉄柵（奥）
Iron Fence (Back)|鉄柵（奥）
Iron Fence (Back)|鉄柵（奥）
Iron Fence|鉄柵
Iron Fence|鉄柵
Iron Fence|鉄柵
Iron Fence (Back)|鉄柵（奥）
Iron Fence (Back)|鉄柵（奥）
Iron Fence|鉄柵
Barricade A|バリケードA
Iron Fence|鉄柵
Iron Fence|鉄柵
Iron Fence|鉄柵
Iron Fence|鉄柵
Iron Fence|鉄柵
Iron Fence (Back)|鉄柵（奥）
Iron Fence (Front)|鉄柵（手前）
Iron Fence (Front)|鉄柵（手前）
Iron Fence (Front)|鉄柵（手前）
Iron Fence|鉄柵
Iron Fence|鉄柵
Iron Fence|鉄柵
Iron Fence (Front)|鉄柵（手前）
Iron Fence (Front)|鉄柵（手前）
