Transparent|透明
Counter|カウンターテーブル
Decorative Plant|観葉植物
Display Shelf A|陳列棚A
Display Shelf B|陳列棚B
Display Shelf (Left)|陳列棚（左）
Display Shelf (Right)|陳列棚（右）
Counter|カウンターテーブル
Counter|カウンターテーブル
Counter|カウンターテーブル
Bed A (Sneak Through)|ベッドA（すり抜け）
Wall Hanging Shelf A|壁掛け棚A
Tablecloth (Counter)|テーブルクロス（カウンターテーブル）
Tablecloth (Counter, V)|テーブルクロス（カウンターテーブル・縦）
Tablecloth (Counter, V)|テーブルクロス（カウンターテーブル・縦）
Stool|椅子
Counter|カウンターテーブル
Counter|カウンターテーブル
Bed A|ベッドA
Wall Hanging Shelf B|壁掛け棚B
Vase|花瓶
Cloth A (Furniture)|布A（家具）
Cloth B (Furniture)|布B（家具）
Bookshelf A|本棚A
Bookshelf A|本棚A
Bookshelf B|本棚B
Bed A|ベッドA
Furniture A|家具A
Furniture B|家具B
Furniture C|家具C
Chest|チェスト
Bookshelf A|本棚A
Bookshelf A|本棚A
Bookshelf B|本棚B
Bed A|ベッドA
Furniture A|家具A
Furniture B|家具B
Furniture C|家具C
Chest|チェスト
Bookshelf A|本棚A
Bookshelf A|本棚A
Bookshelf B|本棚B
Bed B|ベッドB
Bed B|ベッドB
Bunk Bed|2段ベッド
Wall Hanging Shelf C|壁掛け棚C
Wall Hanging Shelf D|壁掛け棚D
Wall Hanging Shelf E|壁掛け棚E
Desk (Top B)|机（上B）
Scroll|巻物
Bed B|ベッドB
Duvet (Bed B)|掛け布団（ベッドB）
Bunk Bed|2段ベッド
Shoddy Furniture A|粗末な家具A
Shoddy Furniture B|粗末な家具B
Shoddy Furniture C|粗末な家具C
Desk (Top A)|机（上A）
Bundle of Books|本の束
Bed B|ベッドB
Duvet (Bed B)|掛け布団（ベッドB）
Bunk Bed|2段ベッド
Shoddy Furniture A|粗末な家具A
Shoddy Furniture B|粗末な家具B
Shoddy Furniture C|粗末な家具C
Desk (Bottom)|机（下）
Stool B|椅子B
Stacked Crates|積まれた木箱
Stacked Crates|積まれた木箱
Stacked Barrel|積まれた樽
Stacked Barrel|積まれた樽
Signboard (Inn)|立て看板（宿屋）
Signboard (Bar)|立て看板（酒場）
Signboard (Magic Shop)|立て看板（魔法屋）
Signboard (Weapon Shop)|立て看板（武器屋）
Stacked Crates|積まれた木箱
Stacked Crates|積まれた木箱
Stacked Barrel|積まれた樽
Stacked Barrel|積まれた樽
Signboard (Armor Shop)|立て看板（防具屋）
Signboard (Item Shop)|立て看板（道具屋）
Signboard (Pharmacy)|立て看板（薬屋）
Signboard|立て看板
Accessories A|小物A
Accessories B|小物B
Accessories C|小物C
Accessories D|小物D
Signboard (Symbol A)|立て看板（シンボルA）
Signboard (Bookstore)|立て看板（本屋）
Signboard (Symbol B)|立て看板（シンボルB）
Signboard (Plain)|立て看板（無地）
