Stool A|椅子A
Potted Plant D|植木鉢D
Sofa A (Right)|ソファーA（右向き）
Sofa A (Left)|ソファーA（左向き）
Sofa D (Up)|ソファーD（上向き）
Sofa D (Up)|ソファーD（上向き）
Sofa C (Up)|ソファーC（上向き）
Potted Plant B|植木鉢B
Potted Plant C|植木鉢C
Potted Plant D|植木鉢D
Sofa B (Right)|ソファーB（右向き）
Sofa B (Left)|ソファーB（左向き）
Sofa D (Down)|ソファーD（下向き）
Sofa D (Down)|ソファーD（下向き）
Sofa C (Down)|ソファーC（下向き）
Chair B|背もたれ椅子B
Potted Plant E|植木鉢E
Potted Plant F|植木鉢F
Sofa B (Right)|ソファーB（右向き）
Sofa B (Left)|ソファーB（左向き）
Sofa D (Down)|ソファーD（下向き）
Sofa D (Down)|ソファーD（下向き）
Sofa C (Down)|ソファーC（下向き）
Chair B|背もたれ椅子B
Potted Plant E|植木鉢E
Potted Plant F|植木鉢F
