Transparent|透明
Planter J|プランターJ
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree B|大きな木B
Planter D|プランターD
Planter F|プランターF
Planter H|プランターH
Planter I|プランターI
Planter J|プランターJ
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree B|大きな木B
Planter E|プランターE
Planter F|プランターF
Flower Bed A|花壇A
Flower Bed A|花壇A
Flower Bed B|花壇B
Flower Bed B|花壇B
Flower Bed C|花壇C
Flower Bed C|花壇C
Planter G|プランターG
Planter G|プランターG
Flower Bed A|花壇A
Flower Bed A|花壇A
Flower Bed B|花壇B
Flower Bed B|花壇B
Flower Bed C|花壇C
Flower Bed C|花壇C
Shadow (Cannot Walk)|影（通行不可）
Shadow (Cannot Walk)|影（通行不可）
Shadow|影
Shadow (Cannot Walk)|影（通行不可）
Bench A (Bottom)|ベンチA（下向き）
Bench A (Top)|ベンチA（上向き）
Bench A (Left)|ベンチA（左向き）
Bench A (Right)|ベンチA（右向き）
Shadow|影
Bench B (Right)|ベンチB（右向き）
Stairs A (Left)|階段A（左）
Stairs A (Center)|階段A（中央）
Stairs A (Right)|階段A（右）
Stairs B|階段B
Stairs A (Left, Shadow)|階段A（左・影）
Shadow (Stairs)|階段の影
Shadow (Cannot Walk)|影（通行不可）
Bench B (Right)|ベンチB（右向き）
Stairs A (Left)|階段A（左）
Stairs A (Center)|階段A（中央）
Stairs A (Right)|階段A（右）
Stairs B|階段B
Stairs A (Left, Shadow)|階段A（左・影）
Shadow (Stairs)|階段の影
Shadow|影
Bench B (Left)|ベンチB（左向き）
Stairs A (Left)|階段A（左）
Stairs A (Center)|階段A（中央）
Stairs A (Right)|階段A（右）
Stairs B|階段B
Stairs A (Left, Shadow)|階段A（左・影）
Shadow (Stairs)|階段の影
Shadow|影
Bench B (Left)|ベンチB（左向き）
Banister|手すり
Banister|手すり
Banister|手すり
Banister|手すり
Banister|手すり
Banister|手すり
Bench B (Bottom)|ベンチB（下向き）
Bench B (Bottom)|ベンチB（下向き）
Banister|手すり
Banister|手すり
Banister|手すり
Banister|手すり
Banister|手すり
Banister|手すり
Bench B (Top)|ベンチB（上向き）
Bench B (Top)|ベンチB（上向き）
Banister|手すり
Banister|手すり
Banister|手すり
Banister|手すり
Banister|手すり
Banister|手すり
Bush B (V)|植え込みB（縦）
Bush B (V, Streetlight)|植え込みB（縦・街灯）
Banister|手すり
Banister|手すり
Banister (Stairs)|手すり（階段）
Banister|手すり
Banister|手すり
Banister|手すり
Bush B (V)|植え込みB（縦）
Bush B (V, Streetlight)|植え込みB（縦・街灯）
Banister|手すり
Banister|手すり
Banister (Stairs)|手すり（階段）
Banister|手すり
Banister|手すり
Banister|手すり
Bush B (V)|植え込みB（縦）
Streetlight A|街灯A
Streetlight B|街灯B
Streetlight C|街灯C
Streetlight D|街灯D
Streetlight C (No Light)|街灯C（ライトなし）
Streetlight D (No Light)|街灯D（ライトなし）
Banister|手すり
Bush B (H, Streetlight)|植え込みB（横・街灯）
Streetlight A|街灯A
Streetlight B|街灯B
Streetlight C|街灯C
Streetlight D|街灯D
Pole (Streetlight C)|ポール（街灯C）
Pole (Streetlight D)|ポール（街灯D）
Banister|手すり
Bush B (H, Streetlight)|植え込みB（横・街灯）
Streetlight A and B|街灯A・街灯B
Streetlight B (No Light)|街灯B（ライトなし）
Streetlight C|街灯C
Streetlight D|街灯D
Streetlight C|街灯C
Streetlight D|街灯D
Banister|手すり
Bush B (H)|植え込みB（横）
Bush B (H)|植え込みB（横）
Bush B (H)|植え込みB（横）
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Bush B (H)|植え込みB（横）
Bush B (H)|植え込みB（横）
Bush B (H)|植え込みB（横）
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Bush D|茂みD
Bush D|茂みD
Bush D|茂みD
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Bush D|茂みD
Bush D|茂みD
Bush D|茂みD
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Bush D|茂みD
Bush D|茂みD
Bush D|茂みD
Bush D|茂みD
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
Ivy Wall|壁のツタ
