Transparent|透明
Gate (Wall B)|ゲート（壁B）
Gate (Wall B)|ゲート（壁B）
Wall B|壁B
Shadow (Cannot Walk)|影（通行不可）
Wall Detail (Right, Reflection to the floor)|壁装飾（右・床映り込み）
Wall Detail (Reflection to the floor)|壁装飾（床映り込み）
Wall Detail (Left, Reflection to the floor)|壁装飾（左・床映り込み）
Reflection to the floor (Gate)|床への映り込み（ゲート）
|
Reflection to the floor (Gate)|床への映り込み（ゲート）
Reflection to the floor (Wall B)|床への映り込み（壁B）
Shadow (Cannot Walk)|影（通行不可）
Wall Detail (Right, Reflection to the floor)|壁装飾（右・床映り込み）
Exit (Top Half B)|出口（上半分B）
Wall Detail (Left, Reflection to the floor)|壁装飾（左・床映り込み）
Stairs A (Wood, Left)|階段A（木製・左）
Stairs A (Wood, Center)|階段A（木製・中央）
Stairs A (Wood, Right)|階段A（木製・右）
Stairs B (Wood)|階段B（木製）
Shadow (Can Walk)|影（通行可能）
Exit (Top Half A)|出口（上半分A）
Entrance A (Top Half B)|入口A（上半分B）
Entrance B (Top Half B)|入口B（上半分B）
Entrance B (Top Half B)|入口B（上半分B）
Entrance B (Top Half B)|入口B（上半分B）
Large Stairs A (Down)|大階段A（下り）
Large Stairs A (Down)|大階段A（下り）
Large Stairs A (Down)|大階段A（下り）
Exit|出口
Entrance A (Top Half A)|入口A（上半分A）
Entrance B (Top Half A)|入口B（上半分A）
Entrance B (Top Half A)|入口B（上半分A）
Entrance B (Top Half A)|入口B（上半分A）
Large Stairs A (Down)|大階段A（下り）
Large Stairs A (Down)|大階段A（下り）
Large Stairs A (Down)|大階段A（下り）
Exit Light|出口の光
Entrance A|入口A
Entrance B|入口B
Entrance B|入口B
Entrance B|入口B
Large Stairs A (Up)|大階段A（上り）
Large Stairs A (Up)|大階段A（上り）
Large Stairs A (Up)|大階段A（上り）
Diagonal Stairs (Left)|斜め階段（左）
|
|
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Left, Shadow)|斜め階段（左・影）
Large Stairs A (Up)|大階段A（上り）
Large Stairs A (Up)|大階段A（上り）
Large Stairs A (Up)|大階段A（上り）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Left, Shadow)|斜め階段（左・影）
Large Stairs A (Up)|大階段A（上り）
Large Stairs A (Up)|大階段A（上り）
Large Stairs A (Up)|大階段A（上り）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Left)|斜め階段（左）
Diagonal Stairs (Right)|斜め階段（右）
Diagonal Stairs (Right)|斜め階段（右）
Banister B|手すりB
Banister B|手すりB
Banister B|手すりB
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Shadow (Banister A)|手すりAの影
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Shadow (Can Walk)|影（通行可能）
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
|
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Shadow (Banister A)|手すりAの影
Banister A|手すりA
Banister A|手すりA
Large Stairs B (Up)|大階段B（上り）
Large Stairs B (Up)|大階段B（上り）
Large Stairs B (Up)|大階段B（上り）
Banister A|手すりA
Banister A|手すりA
Shadow (Banister A)|手すりAの影
Banister A|手すりA
Banister A|手すりA
Large Stairs B (Up)|大階段B（上り）
Large Stairs B (Up)|大階段B（上り）
Large Stairs B (Up)|大階段B（上り）
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Banister A|手すりA
Large Stairs B (Down)|大階段B（下り）
|
Large Stairs B (Down)|大階段B（下り）
Stairs|階段
Large Stairs C (Down, Left)|大階段C（下り・左向き）
Large Stairs C (Down, Left)|大階段C（下り・左向き）
Large Stairs C (Down, Right)|大階段C（下り・右向き）
Large Stairs C (Down, Right)|大階段C（下り・右向き）
Large Stairs B (Down)|大階段B（下り）
Large Stairs B (Down)|大階段B（下り）
Large Stairs B (Down)|大階段B（下り）
Stairs|階段
Large Stairs C (Down, Left)|大階段C（下り・左向き）
Large Stairs C (Down, Left)|大階段C（下り・左向き）
Large Stairs C (Down, Right)|大階段C（下り・右向き）
Large Stairs C (Down, Right)|大階段C（下り・右向き）
Large Stairs B (Down)|大階段B（下り）
Large Stairs B (Down)|大階段B（下り）
Large Stairs B (Down)|大階段B（下り）
Ladder (Up)|はしご（上り）
Large Stairs C (Down, Left)|大階段C（下り・左向き）
Large Stairs C (Down, Left)|大階段C（下り・左向き）
Large Stairs C (Down, Right)|大階段C（下り・右向き）
Large Stairs C (Down, Right)|大階段C（下り・右向き）
Large Stairs C (Down, Left)|大階段C（下り・左向き）
Large Stairs C (Down, Right)|大階段C（下り・右向き）
Stairs (Down)|階段（下り）
Ladder (Down)|はしご（下り）
|
Large Stairs C (Up, Right)|大階段C（上り・右向き）
Large Stairs C (Up, Right)|大階段C（上り・右向き）
Large Stairs C (Up, Left)|大階段C（上り・左向き）
Large Stairs C (Up, Left)|大階段C（上り・左向き）
|
Stairs (Up)|階段（上り）
Ladder|はしご
Large Stairs C (Up, Right)|大階段C（上り・右向き）
Large Stairs C (Up, Right)|大階段C（上り・右向き）
Large Stairs C (Up, Right)|大階段C（上り・右向き）
Large Stairs C (Up, Left)|大階段C（上り・左向き）
Large Stairs C (Up, Left)|大階段C（上り・左向き）
Large Stairs C (Up, Left)|大階段C（上り・左向き）
Stairs (Up)|階段（上り）
Ladder|はしご
Large Stairs C (Up, Right)|大階段C（上り・右向き）
Large Stairs C (Up, Right)|大階段C（上り・右向き）
Large Stairs C (Up, Right)|大階段C（上り・右向き）
Large Stairs C (Up, Left)|大階段C（上り・左向き）
Large Stairs C (Up, Left)|大階段C（上り・左向き）
Large Stairs C (Up, Left)|大階段C（上り・左向き）
Stairs (Up)|階段（上り）
Ladder|はしご
