Barrel|樽
Pedestal (Top A)|台座（上A）
Pedestal A|台座A
Fountain|噴水
Fountain|噴水
Fountain|噴水
Fountain|噴水
Manhole A|マンホールA
Pedestal A|台座A
Pedestal (Bottom A)|台座（下A）
Pedestal A|台座A
Fountain|噴水
Fountain|噴水
Fountain|噴水
Fountain|噴水
Manhole B|マンホールB
Pedestal B|台座B
Pedestal (Top B)|台座（上B）
Pedestal B|台座B
Drain (Top)|排水口（上）
Drain (Left)|排水口（左）
Drain (Bottom)|排水口（下）
Drain (Right)|排水口（右）
Manhole C|マンホールC
Pedestal B|台座B
Pedestal (Bottom B)|台座（下B）
Pedestal B|台座B
