Stool A|椅子A
Stacked Sacks|積まれた麻袋
Stacked Sacks|積まれた麻袋
Crate C|木箱C
Crate F|木箱F
Dish Cabinet (V, Left)|食器棚（縦・左向き）
Dish Cabinet (V, Right)|食器棚（縦・右向き）
Sacks B|麻袋B
Sacks C|麻袋C
Stacked Sacks|積まれた麻袋
Stacked Sacks|積まれた麻袋
Dish Cabinet|食器棚
Dish Cabinet|食器棚
Dish Cabinet (V, Left)|食器棚（縦・左向き）
Dish Cabinet (V, Right)|食器棚（縦・右向き）
Cooking Utensils|調理器具
Kitchen Table|キッチンテーブル
Kitchen Table|キッチンテーブル
Kitchen Table|キッチンテーブル
Dish Cabinet|食器棚
Dish Cabinet|食器棚
Dish Cabinet (V, Left)|食器棚（縦・左向き）
Dish Cabinet (V, Right)|食器棚（縦・右向き）
Cooking Utensils|調理器具
Kitchen Table|キッチンテーブル
Kitchen Table|キッチンテーブル
Kitchen Table|キッチンテーブル
Dish Cabinet|食器棚
Dish Cabinet|食器棚
Dish Cabinet (V, Left)|食器棚（縦・左向き）
Dish Cabinet (V, Right)|食器棚（縦・右向き）
Kitchen Counter B|調理台B
Kitchen Counter C|調理台C
Oven B|かまどB
Oven C|かまどC
Oven C|かまどC
Kiln|窯
Kiln|窯
Kiln|窯
Sink|流し
Kitchen Counter A|調理台A
Oven A|かまどA
Oven C|かまどC
Oven C|かまどC
Kiln|窯
Kiln (Center A)|窯（中央A）
Kiln (Center A)|窯（中央A）
Sink|流し
Kitchen Counter A|調理台A
Oven A|かまどA
Oven C|かまどC
Oven C|かまどC
Kiln|窯
Kiln|窯
Kiln|窯
Fireplace A|暖炉A
Fireplace A|暖炉A
Fireplace B|暖炉B
Fireplace B|暖炉B
Pot (Oven C)|鍋（かまどC）
Pan (Oven C)|フライパン（かまどC）
Kiln (Center B)|窯（中央B）
Kiln (Center B)|窯（中央B）
Fireplace A|暖炉A
Fireplace B|暖炉B
Fireplace B|暖炉B
Fireplace B|暖炉B
Lattice|ラティス
Lattice|ラティス
Lattice|ラティス
Lattice|ラティス
Fireplace A|暖炉A
Fireplace B|暖炉B
Fireplace B|暖炉B
Fireplace B|暖炉B
Lattice|ラティス
Lattice|ラティス
Lattice|ラティス
Lattice|ラティス
Bed A|ベッドA
Bed B|ベッドB
Bed C|ベッドC
Bed A (Cannot Walk)|ベッドA（通行不可）
Bed A (Sneak Through)|ベッドA（すり抜け）
Potted Plant A|植木鉢A
Potted Plant B|植木鉢B
Potted Plant C|植木鉢C
Bed A|ベッドA
Bed B|ベッドB
Bed C|ベッドC
Bed B (Cannot Walk)|ベッドB（通行不可）
Bed B (Sneak Through)|ベッドB（すり抜け）
Potted Plant A|植木鉢A
Potted Plant B|植木鉢B
Potted Plant C|植木鉢C
Bed A|ベッドA
Bed B|ベッドB
Bed C|ベッドC
Bed C (Cannot Walk)|ベッドC（通行不可）
Bed C (Sneak Through)|ベッドC（すり抜け）
Planter A|プランターA
Potted Plant D|植木鉢D
Planter B|プランターB
