Plate A|皿A
Store Shelf D|商品棚D
Store Shelf E|商品棚E
Store Shelf F|商品棚F
Sundries Shelf|雑貨棚
Sundries Shelf|雑貨棚
Bread Shelf|パンの棚
Bread Shelf|パンの棚
Bread Shelf|パンの棚
Display shelf A|陳列棚A
Display shelf B|陳列棚B
Display shelf C|陳列棚C
Display shelf D|陳列棚D
Sundries Shelf (V, Left)|雑貨棚（縦・左）
Sundries Shelf (V, Right)|雑貨棚（縦・右）
Bread Shelf (V, Left)|パンの棚（縦・左）
Bread Shelf (V, Right)|パンの棚（縦・右）
Display shelf A|陳列棚A
Display shelf B|陳列棚B
Display shelf C|陳列棚C
Display shelf D|陳列棚D
Sundries Shelf (V, Left)|雑貨棚（縦・左）
Sundries Shelf (V, Right)|雑貨棚（縦・右）
Bread Shelf (V, Left)|パンの棚（縦・左）
Bread Shelf (V, Right)|パンの棚（縦・右）
Display shelf A|陳列棚A
Display shelf B|陳列棚B
Display shelf C|陳列棚C
Display shelf D|陳列棚D
Sundries Shelf (V, Left)|雑貨棚（縦・左）
Sundries Shelf (V, Right)|雑貨棚（縦・右）
Bread Shelf (V, Left)|パンの棚（縦・左）
Bread Shelf (V, Right)|パンの棚（縦・右）
Storage Case|収納ケース
Storage Box|収納箱
Crate G|木箱G
Stacked Crates C|積まれた木箱C
Crate I (Metals A)|木箱I（金属材A）
Crate (Products)|木箱（商品）
Crate (Products)|木箱（商品）
Basket N (Bread F)|バスケットN（パンF）
Storage Basket|収納カゴ
Storage Box|収納箱
Crate H|木箱H
Stacked Crates C|積まれた木箱C
Crate J (Metals B)|木箱J（金属材B）
Crate (Products)|木箱（商品）
Crate (Products)|木箱（商品）
Basket N (Bread F)|バスケットN（パンF）
Piano|ピアノ
Piano|ピアノ
Piano|ピアノ
Magic Cauldron|魔法の釜
Magic Cauldron|魔法の釜
Magic Cauldron|魔法の釜
Sconce (Left)|壁掛け燭台（左）
Sconce (Right)|壁掛け燭台（右）
Piano|ピアノ
Piano|ピアノ
Piano|ピアノ
Magic Cauldron|魔法の釜
Magic Cauldron|魔法の釜
Magic Cauldron|魔法の釜
Sconce (Left)|壁掛け燭台（左）
Sconce (Right)|壁掛け燭台（右）
Piano|ピアノ
Piano|ピアノ
Piano|ピアノ
Magic Cauldron|魔法の釜
Magic Cauldron|魔法の釜
Magic Cauldron|魔法の釜
Straw Block|藁ブロック
Stacked Straw Blocks|積まれた藁ブロック
Blacksmith Kiln A|鍛冶窯A
Blacksmith Kiln A|鍛冶窯A
Blacksmith Kiln B|鍛冶窯B
Blacksmith Kiln B|鍛冶窯B
Blacksmith's Table A|金床A
Blacksmith's Table B|金床B
Haystack (Upper Left B)|干し草の山（左上B）
Stacked Straw Blocks|積まれた藁ブロック
Blacksmith Kiln A|鍛冶窯A
Blacksmith Kiln A|鍛冶窯A
Blacksmith Kiln B|鍛冶窯B
Blacksmith Kiln B|鍛冶窯B
Scrap Metal|鉄くず
Large Basin|水桶
Haystack (Upper Left A)|干し草の山（左上A）
Haystack|干し草の山
Blacksmith Kiln (Bottom A)|鍛冶窯（下A）
Blacksmith Kiln (Bottom A)|鍛冶窯（下A）
Blacksmith Kiln (Bottom B)|鍛冶窯（下B）
Blacksmith Kiln (Bottom B)|鍛冶窯（下B）
Blacksmith Kiln (Bottom C)|鍛冶窯（下C）
Blacksmith Kiln (Bottom C)|鍛冶窯（下C）
Haystack|干し草の山
Haystack|干し草の山
