Transparent|透明
Ledge D|段差D
Stairs E (Ledge D)|階段E（段差D）
Stairs F (Ledge D)|階段F（段差D）
Entrance C|入口C
Entrance C|入口C
Entrance C|入口C
Entrance D|入口D
Ledge D|段差D
Ledge D|段差D
Ledge D (Shadow, Right)|段差D（影・右）
Ledge D (Shadow, Center)|段差D（影・中央）
Entrance C|入口C
Entrance C|入口C
Entrance C|入口C
Entrance D|入口D
Light A (Ground)|地面の光A
Light B (Ground)|地面の光B
Light (Left Side)|左からの光
Light (Right Side)|右からの光
Entrance E (Light)|入口E（光）
Entrance E (Light)|入口E（光）
Entrance E (Light)|入口E（光）
Entrance F (Light)|入口F（光）
Light A (Ground)|地面の光A
Light B (Ground)|地面の光B
Light (Left Side)|左からの光
Light (Right Side)|右からの光
Entrance E (Light)|入口E（光）
Entrance E (Light)|入口E（光）
Entrance E (Light)|入口E（光）
Entrance F (Light)|入口F（光）
Light C (Ground)|地面の光C
Light C (Ground)|地面の光C
Light C (Ground)|地面の光C
Light D (Ground)|地面の光D
Light E (Ground)|地面の光E
Light E (Ground)|地面の光E
Light E (Ground)|地面の光E
Light F (Ground)|地面の光F
Stairs G (Up)|階段G（上り）
Stairs G (Up)|階段G（上り）
Stairs G (Up)|階段G（上り）
Stairs H (Down)|階段H（下り）
Stairs H (Down)|階段H（下り）
Stairs H (Down)|階段H（下り）
Rope|ロープ
Rope Ladder|縄ばしご
Stairs G (Up)|階段G（上り）
Stairs G (Up)|階段G（上り）
Stairs G (Up)|階段G（上り）
Stairs H (Down)|階段H（下り）
Stairs H (Down)|階段H（下り）
Stairs H (Down)|階段H（下り）
Rope|ロープ
Rope Ladder|縄ばしご
Stairs I (Up)|階段I（上り）
Stairs I (Up)|階段I（上り）
Stairs I (Up)|階段I（上り）
Hole D|穴D
Hole D|穴D
Hole D|穴D
Rope|ロープ
Rope Ladder|縄ばしご
Stairs I (Up)|階段I（上り）
Stairs I (Up)|階段I（上り）
Stairs I (Up)|階段I（上り）
Hole D|穴D
Hole D|穴D
Hole D|穴D
Rope (Down)|ロープ（下り）
Rope Ladder (Down)|縄ばしご（下り）
Depth Shadow A|奈落の影A
|
Depth Shadow A|奈落の影A
Depth Shadow B|奈落の影B
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth B|地底からの光B
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow B|奈落の影B
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth B|地底からの光B
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow B|奈落の影B
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth B|地底からの光B
Shadow of the Ceiling|天井への影
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow B|奈落の影B
Light G (Ground)|地面の光G
Wall A (Sneak Through)|壁A（すり抜け）
Wall A (Sneak Through)|壁A（すり抜け）
Wall A (Sneak Through)|壁A（すり抜け）
