Transparent|透明
Ladder (Down, Not Ladder, Ruins)|はしご（下り・はしごなし・廃墟）
Stairs (Down, Ruins)|下り階段（廃墟）
Ladder (Ruins)|はしご（廃墟）
Tableware Shards A|食器の破片A
Wreckage of the Ceiling|天井の残骸
Wreckage of the Ceiling|天井の残骸
Slanting Stairs (Left, Ruins)|斜め階段（左向き・廃墟）
Slanting Stairs (Right, Ruins)|斜め階段（右向き・廃墟）
Bed B (Ruins)|ベッドB（廃墟）
Bed B|ベッドB
Desk (Ruins)|机（廃墟）
Tableware Shards B|食器の破片B
Wreckage of the Ceiling|天井の残骸
Wreckage of the Ceiling|天井の残骸
Poor Bed|粗末な寝床
Duvet (Poor Bed)|掛け布団（粗末な寝床）
Bed B (Ruins)|ベッドB（廃墟）
Bed B|ベッドB
Duvet (Bed B)|掛け布団（ベッドB）
Stove A|かまどA
Stove B|かまどB
Broken Stove|壊れたかまど
Poor Bed|粗末な寝床
Duvet (Poor Bed)|掛け布団（粗末な寝床）
Bed B (Ruins)|ベッドB（廃墟）
Bed B|ベッドB
Duvet (Bed B)|掛け布団（ベッドB）
Shelf (Ruins A)|廃墟の棚A
Shelf (Ruins B)|廃墟の棚B
Shelf (Ruins B)|廃墟の棚B
Shelf (Back Side, Top Half A)|裏向きの棚（上半分A）
Shelf (Right)|棚（右向き）
Shelf (Left)|棚（左向き）
Fireplace (Ruins)|暖炉（廃墟）
Fireplace (Ruins)|暖炉（廃墟）
Shelf (Ruins A)|廃墟の棚A
Shelf (Ruins B)|廃墟の棚B
Shelf (Ruins B)|廃墟の棚B
Shelf (Back Side, Top Half B)|裏向きの棚（上半分B）
Shelf (Right)|棚（右向き）
Shelf (Left)|棚（左向き）
Fireplace (Ruins)|暖炉（廃墟）
Fireplace (Ruins)|暖炉（廃墟）
Shelf (Ruins A)|廃墟の棚A
Shelf (Ruins B)|廃墟の棚B
Shelf (Ruins B)|廃墟の棚B
Shelf (Back Side)|裏向きの棚
Shelf (Right)|棚（右向き）
Shelf (Left)|棚（左向き）
Fireplace (Ruins)|暖炉（廃墟）
Fireplace (Ruins)|暖炉（廃墟）
Ledge|段差
Ledge|段差
Ledge|段差
Ledge|段差
Ledge|段差
Ledge|段差
Ledge|段差
Ledge (Ruins)|段差（廃墟）
Haystack A|干し草の山A
Haystack A (Upper Right A)|干し草の山A（右上A）
Hay|干し草
Straw Bale|藁ブロック
Tool Rack A|道具掛けA
Tool Rack B|道具掛けB
Tool Rack C|道具掛けC
Dry Garlic|干しニンニク
Haystack A|干し草の山A
Haystack A|干し草の山A
Haystack A (Upper Right B)|干し草の山A（右上B）
Haystack B|干し草の山B
Tool Rack A|道具掛けA
Tool Rack B|道具掛けB
Tool Rack C|道具掛けC
Dried Radish|干しダイコン
Stacked Sacks A|積まれた麻袋A
Stacked Sacks A|積まれた麻袋A
Stacked Sacks B|積まれた麻袋B
Sack|麻袋
Crate A|木箱A
Crate B|木箱B
Crate C|木箱C
Crate D|木箱D
Stacked Sacks A|積まれた麻袋A
Stacked Sacks A|積まれた麻袋A
Stacked Sacks B|積まれた麻袋B
Mattress|マットレス
Stacked Crates A|積まれた木箱A
Stacked Baggages|積まれた荷物
Vegetables A|野菜A
Tray (Vegetables)|トレイ（野菜）
Stacked Crates B|積まれた木箱B
Stacked Crates C|積まれた木箱C
Stacked Crates C|積まれた木箱C
Mattress|マットレス
Stacked Crates A|積まれた木箱A
Stacked Baggages|積まれた荷物
Vegetables B|野菜B
Tray (Wheat Sheaf)|トレイ（小麦の束）
Stacked Crates B|積まれた木箱B
Stacked Crates C|積まれた木箱C
Stacked Crates C|積まれた木箱C
Crate E|木箱E
Crate F|木箱F
Baggage|荷物
Harvest Baskets|収穫かご
Grain Sacks|穀物袋
