Transparent|透明
Natural Bridge (H)|自然の橋（横）
Shadow (Natural Bridge)|影（自然の橋）
Shadow (Natural Bridge)|影（自然の橋）
Natural Bridge (H)|自然の橋（横）
|
Entrance A|入口A
Entrance A|入口A
Entrance A|入口A
Entrance B|入口B
Entrance A|入口A
Entrance A|入口A
Entrance A|入口A
Entrance B|入口B
Entrance A (Moss)|入口A（苔）
Entrance A (Moss)|入口A（苔）
Entrance A (Moss)|入口A（苔）
Entrance B (Moss)|入口B（苔）
Entrance A|入口A
Entrance A|入口A
Entrance A|入口A
Entrance B|入口B
Light A (Ground)|地面の光A
Light B (Ground)|地面の光B
Light (Left Side)|左からの光
Light (Right Side)|右からの光
Entrance A (Light)|入口A（光）
Entrance A (Light)|入口A（光）
Entrance A (Light)|入口A（光）
Entrance B (Light)|入口B（光）
Light A (Ground)|地面の光A
Light B (Ground)|地面の光B
Light (Left Side)|左からの光
Light (Right Side)|右からの光
Entrance A (Light)|入口A（光）
Entrance A (Light)|入口A（光）
Entrance A (Light)|入口A（光）
Entrance B (Light)|入口B（光）
Light C (Ground)|地面の光C
Light C (Ground)|地面の光C
Light C (Ground)|地面の光C
Light D (Ground)|地面の光D
Light E (Ground)|地面の光E
Light E (Ground)|地面の光E
Light E (Ground)|地面の光E
Light F (Ground)|地面の光F
Stairs C (Up)|階段C（上り）
Stairs C (Up)|階段C（上り）
Stairs C (Up)|階段C（上り）
Stairs D (Down)|階段D（下り）
Stairs D (Down)|階段D（下り）
Stairs D (Down)|階段D（下り）
Chain|鎖
Ladder|はしご
Stairs C (Up)|階段C（上り）
Stairs C (Up)|階段C（上り）
Stairs C (Up)|階段C（上り）
Stairs D (Down)|階段D（下り）
Stairs D (Down)|階段D（下り）
Stairs D (Down)|階段D（下り）
Chain|鎖
Ladder|はしご
Stairs E (Up)|階段E（上り）
Stairs E (Up)|階段E（上り）
Stairs E (Up)|階段E（上り）
Hole C|穴C
Hole C|穴C
Hole C|穴C
Chain|鎖
Ladder|はしご
Stairs E (Up)|階段E（上り）
Stairs E (Up)|階段E（上り）
Stairs E (Up)|階段E（上り）
Hole C|穴C
Hole C|穴C
Hole C|穴C
Chain (Down)|鎖（下り）
Ladder (Down)|はしご（下り）
Depth Shadow A|奈落の影A
|
Depth Shadow A|奈落の影A
Depth Shadow B|奈落の影B
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth B|地底からの光B
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow B|奈落の影B
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth B|地底からの光B
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow B|奈落の影B
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth A|地底からの光A
Light from the Depth B|地底からの光B
Shadow of the Ceiling|天井への影
Depth Shadow A|奈落の影A
Depth Shadow A|奈落の影A
Depth Shadow B|奈落の影B
Light G (Ground)|地面の光G
Wall A (Sneak Through)|壁A（すり抜け）
Wall A (Sneak Through)|壁A（すり抜け）
Wall A (Sneak Through)|壁A（すり抜け）
