Transparent|透明
Slope B (Ledge A)|坂B（段差A）
Slope C (Ledge B)|坂C（段差B）
Slope C (Ledge B)|坂C（段差B）
Slope C (Ledge B)|坂C（段差B）
Slope D (Ledge B)|坂D（段差B）
Slope A (Ledge A)|坂A（段差A）
Slope A (Ledge A)|坂A（段差A）
Slope A (Ledge A)|坂A（段差A）
Slope B (Ledge A)|坂B（段差A）
Slope C (Ledge B)|坂C（段差B）
Slope C (Ledge B)|坂C（段差B）
Slope C (Ledge B)|坂C（段差B）
Slope D (Ledge B)|坂D（段差B）
Wall Vines A (Left)|壁のツタA（左）
Wall Vines A (Center)|壁のツタA（中央）
Wall Vines A (Right)|壁のツタA（右）
Wall Vines B|壁のツタB
Cave Entrance A (Ledge B)|洞窟入口A（段差B）
Cave Entrance A (Ledge B)|洞窟入口A（段差B）
Cave Entrance A (Ledge B)|洞窟入口A（段差B）
Cave Entrance B (Ledge B)|洞窟入口A（段差B）
Wall Vines A (Left)|壁のツタA（左）
Wall Vines A (Center)|壁のツタA（中央）
Wall Vines A (Right)|壁のツタA（右）
Wall Vines B|壁のツタB
Cave Entrance A (Ledge A)|洞窟入口A（段差A）
Cave Entrance A (Ledge A)|洞窟入口A（段差A）
Cave Entrance A (Ledge A)|洞窟入口A（段差A）
Cave Entrance B (Ledge A)|洞窟入口A（段差A）
Wall Vines A (Left)|壁のツタA（左）
Wall Vines A (Center)|壁のツタA（中央）
Wall Vines A (Right)|壁のツタA（右）
Wall Vines B|壁のツタB
Cave Entrance A|洞窟入口A
Cave Entrance A|洞窟入口A
Cave Entrance A|洞窟入口A
Cave Entrance B|洞窟入口B
Grass A (Wall Side)|壁際の草A
Grass B (Wall Side)|壁際の草B
Grass B (Wall Side)|壁際の草B
Boulder A (Wall Side)|壁際の岩A
Boulder B (Wall Side)|壁際の岩B
Boulder B (Wall Side)|壁際の岩B
Wall Grass A|壁の草A
Wall Grass B|壁の草B
Grass A (Wall Side)|壁際の草A
Grass B (Wall Side)|壁際の草B
Grass B (Wall Side)|壁際の草B
Boulder A (Wall Side)|壁際の岩A
Boulder B (Wall Side)|壁際の岩B
Boulder B (Wall Side)|壁際の岩B
Wall Grass A|壁の草A
Wall Grass B|壁の草B
Vines|ツタ
Rope|ロープ
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge, Ledge A, Height 1)|水際の崖（段差A・高さ1マス）
Cliff (Water Edge, Ledge A, Height 1)|水際の崖（段差A・高さ1マス）
Cliff (Water Edge, Ledge A, Height 1)|水際の崖（段差A・高さ1マス）
Vines|ツタ
Rope|ロープ
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge, Ledge A, Height 1)|水際の崖（段差A・高さ1マス）
Cliff (Water Edge, Ledge A, Height 1)|水際の崖（段差A・高さ1マス）
Cliff (Water Edge, Ledge A, Height 1)|水際の崖（段差A・高さ1マス）
Vines|ツタ
Rope|ロープ
Swamp Grass A|水草A
Swamp Grass B|水草B
Swamp Grass C|水草C
Dead Tree (Water)|水場の枯れ木
Cliff (Water Edge, Ledge A, Shadow, Center, Height 1)|水際の崖（段差A・影・中央・高さ1マス）
Cliff (Water Edge, Ledge A, Shadow, Center, Height 1)|水際の崖（段差A・影・中央・高さ1マス）
Vines (Down)|ツタ（下り）
Rope (Down)|ロープ（下り）
Floating Island|浮島
Boulder A (Water)|水場の岩A
Tree Branch (Water)|水底の枝
Tree (Water, Bottom A)|水場の木（下端A）
Cliff (Water Edge, Ledge A, Shadow, Center, Height 1)|水際の崖（段差A・影・中央・高さ1マス）
Cliff (Water Edge, Ledge A, Shadow, Center, Height 1)|水際の崖（段差A・影・中央・高さ1マス）
Stacked Crates A (Upper left)|積まれた木箱A（左上）
Stacked Crates A (Upper right)|積まれた木箱A（右上）
Stacked Crates B|積まれた木箱B
Stacked Crates B|積まれた木箱B
Boulder B (Water)|水場の岩B
Tree (Water, Bottom B)|水場の木（下端B）
Tree (Water)|水場の木
Dead Tree (Water)|水場の枯れ木
Stacked Crates A (Lower left)|積まれた木箱A（左下）
Stacked Crates A (Lower right)|積まれた木箱A（右下）
Stacked Crates B|積まれた木箱B
Stacked Crates B|積まれた木箱B
Crate A|木箱A
Tree (Water, Bottom C)|水場の木（下端C）
Tree (Water)|水場の木
Dead Tree (Water)|水場の枯れ木
Wood Bridge (V)|木の橋（縦）
Wood Bridge (H)|木の橋（横）
Wood Bridge (H)|木の橋（横）
Wood Bridge (H)|木の橋（横）
Crate B|木箱B
Barricade B|バリケードB
Light (Left Side)|左からの光
Light (Right Side)|右からの光
Wood Bridge (V)|木の橋（縦）
Wood Bridge (H, Broken)|壊れた木の橋（横）
Wood Bridge (H, Broken)|壊れた木の橋（横）
Light A (Ground)|地面の光A
Light A (Ground)|地面の光A
Light A (Ground)|地面の光A
Light (Left Side)|左からの光
Light (Right Side)|右からの光
Wood Bridge (V)|木の橋（縦）
Barrel A|樽A
Barrel B|樽B
Light B (Ground)|地面の光B
Light B (Ground)|地面の光B
Light B (Ground)|地面の光B
Light C (Ground, Myriad Roots)|地面の光C（無数の根）
Light D (Ground, Myriad Roots)|地面の光D（無数の根）
Wood Bridge (V, Broken)|壊れた木の橋（縦）
Light E (Ground, Myriad Roots)|地面の光E（無数の根）
Light F (Ground, Myriad Roots)|地面の光F（無数の根）
Light A (Ground, Myriad Roots)|地面の光A（無数の根）
Light A (Ground, Myriad Roots)|地面の光A（無数の根）
Light A (Ground, Myriad Roots)|地面の光A（無数の根）
Light C (Ground, Myriad Roots)|地面の光C（無数の根）
Light D (Ground, Myriad Roots)|地面の光D（無数の根）
Wood Bridge (V, Broken)|壊れた木の橋（縦）
Light G (Ground, Myriad Roots)|地面の光G（無数の根）
Light H (Ground, Myriad Roots)|地面の光H（無数の根）
Light B (Ground, Myriad Roots)|地面の光B（無数の根）
Light B (Ground, Myriad Roots)|地面の光B（無数の根）
Light B (Ground, Myriad Roots)|地面の光B（無数の根）
Light C (Ground, Myriad Roots)|地面の光C（無数の根）
Light D (Ground, Myriad Roots)|地面の光D（無数の根）
