Darkness|暗闇
Stairs A (Bottom, Bush, Right)|階段A（下端・草付き・右）
Cliff Decoration C (Ledge A, Height 1)|崖装飾C（段差A・高さ1マス）
Cliff Decoration C (Ledge A, Bush, Height 1)|崖装飾C（段差A・草付き・高さ1マス）
Buried Root (Myriad Roots, V)|埋もれた根っこ（無数の根・縦）
Buried Root (Meadow, V)|埋もれた根っこ（草地・縦）
Dead Tree A (Poison Swamp)|枯れ木A（毒の沼）
Buried Root (Myriad Roots, H)|埋もれた根っこ（無数の根・横）
Buried Root (Myriad Roots, H)|埋もれた根っこ（無数の根・横）
Buried Root (Meadow, H)|埋もれた根っこ（草地・横）
Buried Root (Meadow, H)|埋もれた根っこ（草地・横）
Buried Root (Dirt)|埋もれた根っこ（土）
Buried Root (Myriad Roots, V)|埋もれた根っこ（無数の根・縦）
Buried Root (Meadow, V)|埋もれた根っこ（草地・縦）
Dead Tree B (Poison Swamp)|枯れ木B（毒の沼）
