Transparent|透明
Slope D (Little Ledge D)|坂D（低い段差D）
Slope A|坂A
Slope A|坂A
Slope A|坂A
Slope B|坂B
Slope C (Little Ledge D)|坂C（低い段差D）
Slope C (Little Ledge D)|坂C（低い段差D）
Slope C (Little Ledge D)|坂C（低い段差D）
Slope D (Little Ledge D)|坂D（低い段差D）
Slope A|坂A
Slope A|坂A
Slope A|坂A
Slope B|坂B
Wall Vines A (Left)|壁のツタA（左）
Wall Vines A (Center)|壁のツタA（中央）
Wall Vines A (Right)|壁のツタA（右）
Wall Vines B|壁のツタB
Cave Entrance A (Vines)|洞窟入口A（ツタ）
Cave Entrance A (Vines)|洞窟入口A（ツタ）
Cave Entrance A (Vines)|洞窟入口A（ツタ）
Cave Entrance B (Vines)|洞窟入口B（ツタ）
Wall Vines A (Left)|壁のツタA（左）
Wall Vines A (Center)|壁のツタA（中央）
Wall Vines A (Right)|壁のツタA（右）
Wall Vines B|壁のツタB
Cave Entrance A|洞窟入口A
Cave Entrance A|洞窟入口A
Cave Entrance A|洞窟入口A
Cave Entrance B|洞窟入口B
Wall Vines A (Left)|壁のツタA（左）
Wall Vines A (Center)|壁のツタA（中央）
Wall Vines A (Right)|壁のツタA（右）
Wall Vines B|壁のツタB
Cave Entrance A|洞窟入口A
Cave Entrance A|洞窟入口A
Cave Entrance A|洞窟入口A
Cave Entrance B|洞窟入口B
Grass A (Wall Side)|壁際の草A
Grass B (Wall Side)|壁際の草B
Grass B (Wall Side)|壁際の草B
Boulder A (Wall Side)|壁際の岩A
Boulder B (Wall Side)|壁際の岩B
Boulder B (Wall Side)|壁際の岩B
Wall Grass A|壁の草A
Wall Grass B|壁の草B
Grass A (Wall Side)|壁際の草A
Grass B (Wall Side)|壁際の草B
Grass B (Wall Side)|壁際の草B
Boulder A (Wall Side)|壁際の岩A
Boulder B (Wall Side)|壁際の岩B
Boulder B (Wall Side)|壁際の岩B
Wall Grass A|壁の草A
Wall Grass B|壁の草B
Vines|ツタ
Rope|ロープ
Shadow|影
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Grass A (Wall)|壁の草A
Flowers A (Wall)|壁の花A
Vines|ツタ
Rope|ロープ
Shadow|影
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Grass B (Wall)|壁の草B
Flowers B (Wall)|壁の花B
Vines|ツタ
Rope|ロープ
Swamp Grass A|水草A
Swamp Grass B|水草B
Swamp Grass C|水草C
Tree A (Water)|水場の木A
Tree B (Water)|水場の木B
Dead Tree (Water)|水場の枯れ木
Vines (Down)|ツタ（下り）
Rope (Down)|ロープ（下り）
Floating Island|浮島
Boulder A (Water)|水場の岩A
Tree B (Water)|水場の木B
Tree A (Water)|水場の木A
Tree B (Water)|水場の木B
Tree Branch (Water)|水底の枝
Littele Ledge A|低い段差A
Littele Ledge A|低い段差A
Littele Ledge A|低い段差A
Boulder B (Water)|水場の岩B
Lotus Pads A|蓮の葉A
Lotus Pads B|蓮の葉B
Lotus Pads C|蓮の葉C
Lotus Pads D|蓮の葉D
Littele Ledge A|低い段差A
|
Littele Ledge A|低い段差A
Crate A|木箱A
Stacked Crates A (Upper left)|積まれた木箱A（左上）
Stacked Crates A (Upper right)|積まれた木箱A（右上）
Stacked Crates B|積まれた木箱B
Stacked Crates B|積まれた木箱B
Littele Ledge A|低い段差A
Littele Ledge A|低い段差A
Littele Ledge A|低い段差A
Crate B|木箱B
Stacked Crates A (Lower left)|積まれた木箱A（左下）
Stacked Crates A (Lower right)|積まれた木箱A（右下）
Stacked Crates B|積まれた木箱B
Stacked Crates B|積まれた木箱B
Wood Bridge (H, Broken)|壊れた木の橋（横）
Wood Bridge (H, Broken)|壊れた木の橋（横）
Wood Bridge (V, Broken)|壊れた木の橋（縦）
Barricade B|バリケードB
Barrel A|樽A
Barrel B|樽B
Log Bridge (V, Broken)|壊れた丸太の橋（縦）
Log Bridge (V)|丸太の橋（縦）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (V, Broken)|壊れた木の橋（縦）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (H)|木の橋（横）
Log Bridge (V)|丸太の橋（縦）
Log Bridge (V, Broken)|壊れた丸太の橋（縦）
Log Bridge (V)|丸太の橋（縦）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (H)|木の橋（横）
Wood Bridge (H)|木の橋（横）
Wood Bridge (H)|木の橋（横）
Log Bridge (H, Broken)|壊れた丸太の橋（横）
Log Bridge (H, Broken)|壊れた丸太の橋（横）
Log Bridge (V)|丸太の橋（縦）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (H)|木の橋（横）
Wood Bridge (H)|木の橋（横）
Wood Bridge (H)|木の橋（横）
Log Bridge (H)|丸太の橋（横）
Log Bridge (H)|丸太の橋（横）
Log Bridge (H)|丸太の橋（横）
